name,radius_km,distance_au,mass_earth,gravity_g,avg_temp_celsius,atmosphere_o2,atmosphere_co2,atmosphere_n2,has_water,magnetic_field,moons,label,has_water_int,magnetic_field_int
Aeloria,6800,1.1,1.05,1.02,18,21,1,77,True,True,1,habitable,1,1
Vexar Prime,3200,0.4,0.3,0.38,430,0,96,3,False,False,0,non_habitable,0,0
Zyphos,7200,1.3,1.2,1.1,12,18,2,79,True,True,2,habitable,1,1
Drakkon IV,65000,5.2,318.0,2.53,-145,0,0,0,False,True,79,non_habitable,0,1
Nexara,5900,0.95,0.85,0.92,25,19,3,76,True,True,0,habitable,1,1
Cryon,2400,38.0,0.1,0.07,-220,0,0,95,False,False,1,non_habitable,0,0
Theriax,6100,1.5,0.9,0.88,-5,12,5,80,True,True,1,inconnue,1,1
Pyroxis,8900,0.2,2.1,1.8,900,0,70,10,False,False,0,non_habitable,0,0
Lumivara,6400,1.0,1.0,1.0,15,21,0,78,True,True,1,habitable,1,1
Sorvek,4100,2.1,0.4,0.45,-60,3,50,40,False,False,2,non_habitable,0,0
Echovell,7000,1.2,1.15,1.05,22,20,1,78,True,True,3,habitable,1,1
Glacious,5500,9.5,0.7,0.65,-180,1,2,90,True,False,0,inconnue,1,0
Ashenveil,3800,0.7,0.55,0.6,310,0,85,14,False,False,0,non_habitable,0,0
Verdantis,7500,1.4,1.3,1.15,28,23,0,76,True,True,2,habitable,1,1
Stygion,58000,19.2,14.5,0.9,-195,0,0,0,False,True,27,non_habitable,0,1
